"T Naive"	"T Memory"	"B Naive"	"B Memory"	"Plasmablasts"	"NK"	"pDCs"	"Neutrophils LD"	"Basophils LD"	"mDCs"	"Monocytes"
"KLRD1"	2.94292759986254	225.441066314977	3.25374500548416	11.863133733792	10.6365646144149	714.946036127011	0.743814216828243	1.7784252599349	0.819974671054389	29.6412409268977	3.74780189421775
"IL18RAP"	0.777513845420452	19.9110930876409	1.221083316498	6.24184111922172	2.94564891584244	242.978406967684	2.18262970860486	13.3746129257465	3.17215233011337	36.4966853973022	0.367503774929009
"CD33"	0.184377760712735	0.421528551082315	6.70340740823252	22.1367241265398	28.3993371673654	3.53216208953354	1.62021014278736	5.4558102241245	14.0303298991546	4740.58376124403	227.811755522839
"B4GALT5"	0.240787577662868	3.08851218012947	0.491786692665868	1.92260200588413	1.58353417879233	4.42792920146963	0.415383118691182	9.16314302156349	0.252021963238325	45.5390946606777	3.71334788921626
"GSTA4"	0.85642949201585	1.41592600296705	1.63436665405969	7.03272875728995	16.1147773599428	3.39600394396782	0.969989396772535	0.0296777803583467	0.200598395042426	6.03262191589371	2.18846787225221
"SOCS2"	8.41725702754853	17.4054907213273	0.975352520952393	7.30023616002282	30.1862699184414	28.0246768497905	0.814116532669941	0.317581830455022	299.200912319355	6.31872198791428	0.607314105311726
"ZNF821"	1.80598850091654	5.32562892907693	5.99890554682635	54.0675856462065	113.589591057196	4.28647701011608	0.870648618876622	2.15464666769195	1.15205432642413	33.3453097815751	3.18610342050459
"CD2"	90.1795111735096	301.299016809302	1.66758504813525	4.11625304411253	1.82911492472705	169.982627095103	4.07820671750929	0.161775956752167	0.0407471443129708	656.718643455241	0.932560946275177
"LGMN"	12.1866428473872	6.91769206947039	8.37716377594251	99.6087218988906	366.719627647636	8.30053629394468	181.584709981275	3.09682956010494	3.97099681602405	1300.80923128341	6.29901618802413
"PLD1"	0.553704171377606	2.79386698509249	1.5095036466261	3.32245706804935	6.69887356341812	7.3918039987203	0.785619399786683	3.70224172336431	14.5455473880466	55.7218941779924	14.7500377373547
"SEC61B"	14.6717902392075	47.3579073847724	12.8099838970112	93.6332388023753	1670.48197399101	37.4025366003364	95.3094215893879	7.1957122837705	21.371516723288	949.978897430521	34.3872554301485
"F2RL1"	1.38469850157345	2.1110737059145	0.650918157067964	3.27661157607749	0.868522876493895	0.0281360197641478	0.0487632494514033	18.470282506778	0.245290142164572	39.4752755198251	9.83463392929653
"SORT1"	1.22165305269309	1.81075899406484	1.7504195041644	6.6040891294846	19.4207896042289	2.42670788399063	4.02993042478998	3.23642035323665	1.08648871166366	233.256518950463	21.9981407971124
"CA6"	8.7668489892027	1.317180581107	0.50434686551969	2.20729582041068	2.25704887029433	0.832572160791513	0.220088704552897	0.207476160340223	0.365309289567654	6.0519938523193	0.623931615840521
"LRRN3"	77.1727576015077	7.2388718616564	0.379195530375013	1.18740677479584	0.823596116648151	0.297399339378202	0.266414830664518	0.0283353147244105	0.116028524624344	4.26791900920799	0.124371051144086
"CD248"	13.0740872280033	0.382358624173127	0	0.150719449852004	0	0	0	0	0	0	0
"PCSK5"	13.0451510417662	3.33309150703319	0.477430663213671	2.57153214262008	2.43345672861844	5.20734672834165	0.513280743285623	0.722997163185021	0.485475813472967	118.389872773828	7.63496014520834
"PLLP"	4.26542618317054	1.82066459354493	0.608717617029971	2.83377512853145	6.07074846548385	1.22566341445299	0.393305646119953	0.407823322530467	0.409940706374694	10.1511284042025	1.19088640310604
"AK5"	15.1883640922088	5.01229041174277	1.05436584571931	6.76542858353764	10.9900009487774	4.96706229450616	0.76530325855179	0.0166037344429936	0.200378068423318	63.0437949292247	1.73330489207092
"GAL3ST4"	8.4334211232464	3.33984338393822	0.338732479020539	1.8448953452196	0.875925048087133	0.868146259249058	5.27093747236187	0.29264628080611	0.118612081037875	4.33837956262475	0.496475723454955
"SCML1"	11.9729740308852	2.9543233737752	2.93759765436047	5.20795528418619	0	1.02211388757341	0.628911087026237	0.399279416150783	0.0899178828309622	137.150429037235	6.01987705175641
"LMO7"	24.4102722320364	11.1559583377026	5.82159371878379	24.5024268029957	38.6279101584387	4.12292525359215	2.74575419737334	0.317224263110236	2.19320613469222	48.7780746444742	2.65732620015575
"KRT73"	9.45330593276855	2.5358352002849	0	0.159904409036415	0	7.60107777300729	0	0	0	0	0.00214068804577376
"MAN1C1"	6.86808553451744	3.31143623970911	0.540131661648037	1.88765746961011	3.26077683932276	1.66542559801634	0.197006155061284	0.135806267896757	0.496537482287009	25.4347594443266	2.21062555053376
"TCEA3"	15.9969608107174	8.03451412783748	0.024655453430548	0.140110478894452	0	0.131644998030526	0.679799349446082	0	0	97.0177918984184	0.412248201648339
"EPHA1"	22.64390915107	10.1685458736151	0.644154593476178	3.30623486126154	12.3938680408518	2.54905785963082	2.95427609287599	5.58219936937766	2.72543686569521	60.7857185079445	4.67198547622541
"FAM153B"	12.7260229410707	7.57965088504263	1.44554817065099	4.69833602575936	4.99924400289286	1.91802929532026	2.25665519469627	0.292380818768693	0.487636663699227	24.7820466495779	1.55611181805836
"EPHX2"	66.0598674506119	30.0102601675935	1.7868677916971	13.4556795853081	57.8809198000218	4.35900697391422	0.71574917932842	0.707275951809791	1.09500369946755	28.7900947045265	2.10107176087794
"FAM153A"	15.9571658707143	9.15859921310486	0.398901073549128	1.95530850765983	1.48586468257316	0.383409967094939	0.896333048615882	0.0398882406301606	0.112663747597157	11.9522238329134	0.253707344692218
"FAM134B"	14.9320700666287	7.53410596058029	1.01342907900442	1.76368840064678	0.431945953425737	0.5696504126485	0.0410653030830112	0.41739091706364	0.06321684358808	22.2461584804585	1.64000376390815
"OXNAD1"	107.665545162047	51.7873379491318	5.06700978315064	24.214898812061	106.91872978822	16.0570743780734	4.7807563089247	1.13867045404703	2.8502653664904	159.958637691077	8.09779344918234
