B Cells	CD4 T Cells	CD8 T Cells	Dendritic Cells	Eosinophils	Macrophages	Mast Cells	Monocytes	Neutrophils	NK Cells
Ighd	101263.5	550	720	639	12	16.5	1	52	2462.5	13
Cd19	45816	301	296	1288	13	12	0	47	2611	0
Fcmr	29555	180	142	673	9.5	7	3	24	813.5	0
Fcer2a	35674.5	196	156	409	7.5	20	3.5	54	915	2
Pax5	39505	265	204	421	8	148	0	248	3057.5	0
Gm30211	17778	144	83	706	0.5	18	0	38	942	79
Blk	16609	127	120	766	5	21	0	66	1023	9
Ccr6	5018	206	24	1528	2	12.5	0	0	44	5
Cd22	44371	385	289	631.5	43.5	318	3	47	1644	36
Spib	21086.5	361	167	7977	35.5	29.5	1	177	2329	0
Cd79a	42930.5	265	227	862	505.5	7.5	16.5	90	2302.5	49
Tnfrsf13c	8255	62	80	271	3	10	1.5	18	497	260
Cd79b	37420	315	729	896	107.5	88	3	40	2760.5	144
Fcrl1	11797	218	98	464.5	8	49	0	625	374	0
Btla	37018.5	6415	3513	2401.5	15	197.5	0	6465	757.5	0
A530030E21Rik	1196.5	9	7	50	0	1	0	2	51.5	0
Igha	2887.5	112	24	5860.5	41.5	0	0	0	866	13
Mzb1	2570.5	28	19	997	0	3	0.5	0	203.5	18
Cd27	68	7151	8070	0	0	0	0	0	0	0
Izumo1r	39.5	5015	1026	20.5	0	3	0	1	3	0
Trbc1	119.5	31055	27461	1440.5	0	26	0	4	88.5	9451
Cd3e	55	12168	13691	280	0	12.5	0	10	41.5	22
Trac	68.5	18175	14247	175	14	17	0.5	2	36.5	366
A630023P12Rik	339.5	6759	2035	76.5	0	2.5	0	1	21	0
2010016I18Rik	59	6504	6100	17.5	4	2	0	10	17.5	56
Tcf7	12.5	3250	2568	41.5	2.5	3	0	1	6	4
Cd6	40	12259	8563	131.5	0	41	1	29	50	15
Cxcr6	15	897	2041	0	0	0	0	0	0	0
Tgtp2	360.5	1802	3094	0	0	0	0	0	0	0
G430095P16Rik	21.5	781	739	0	0	0	0	0	0	0
Cd3g	51	11365	12615	199	6	28.5	0	3	24.5	2155
Cd5	68	12684	6041	126.5	3	62.5	1	46	22	13
Tnfrsf18	277	1311	837	0	0	0	0	0	0	0
Gm11695	1	353	306	0	0	0	0	0	0	0
Xlr4b	497	1358	1296	0	0	0	0	0	0	0
Trbj1-1	14.5	2816	2131	215.5	0	10	0	0	5	2217
Cd7	80	822	2626	0	0	0	0	0	0	0
Gm20324	275	926	1187	0	0	0	0	0	0	0
Cd3d	51	8573	10314	201	20.5	15.5	0.5	8	53	266
Gm44174	21	18	20639	24.5	1	15	1.5	2	10.5	2
Cd8a	63.5	33	37518	518.5	1	38.5	0	0	186.5	5
Cd8b1	52.5	456	33639	211	1	13.5	0.5	4	67.5	22
Themis	22	5560	7819	92.5	1	66	1.5	92	20	27
A930002I21Rik	0.5	43	573	13	0	0	0	1	5	0
Gm8221	5	3	66	17649.5	1.5	3.5	0	0	14.5	0
Ccl22	5	0	13	117683.5	175	565.5	0	1	14644	0
Ccr7	5547.5	13457	12807	121976.5	29.5	1094.5	1	14	828.5	13
Ccl5	90.5	394	2259	85608	360	342	9.5	7	3277	144582
Mmp25	127.5	16	6	24420	2423.5	234	3.5	24	16581	6
Prg2	53.5	0	1	11971	899822	4	0	162	47710.5	0
Nudt17	8	15	21	7161.5	33	29.5	17	15	61	44
H2-Eb2	5043.5	54	48	12491.5	4	258.5	2.5	20	164.5	2
Clec4a4	6	8	3	1571.5	4.5	102.5	0.5	1334	27	0
Clec2g	35	1	2	3684	12	213	1.5	9369	340.5	32
Cd83	6311.5	381	164	45769	19.5	17365.5	1.5	349	1401	35
Cd40	4864	41	52	60250	28.5	1782.5	0.5	2552	2215	14
